dataset,type,free_text,label_id
ViHSD,train,Em ???c làm fan c?ng luôn r?i nè ?? reaction quá hay quá cute coi m?y gi? này quá h?p lí =]]],0
ViHSD,train,?úng là b?n m?t híp lò xo th?t :))) bên vi?t nam t cái này ra cách ?ây 10 n?m r và b?n t g?i là cái L :))),2
ViHSD,train,??u V?n C??ng gi? gi?ng th?ng sida h?n à,0
ViHSD,train,CÔN ?? C?C SÚC VÔ NHÂN TÍNH ?? NGHI VN. NHÀ N??C VN BAN TH??NG.,2
ViHSD,train,T? lý thuy?t ??n th?c hành là c? 1 câu chuy?n dài =)),0
ViHSD,train,Coronavirus is manmade,0
ViHSD,train,?? chúng m nh?n ra ai,0
ViHSD,train,Lúp lúp nh? chó .,1
ViHSD,train,??????,0
ViHSD,train,"Th? mà mình nói m?y th?ng b?c kì, b?n ?ó l?i bâu vô nói mình phân bi?t!:D",2
ViHSD,train,"???c anh ?i, lâu r?i không nghe phúc du rap ??",0
ViHSD,train,C?t cho tr? trâu b?t thui mà ??????,0
ViHSD,train,Nghe r?t vô lí nh?ng c?c kì thuy?t ph?c,0
ViHSD,train,"chán ghê hong có pé 2 m?i máu ???c, hâhha",0
ViHSD,train,Sao t g?i ?c bây,0
ViHSD,train,th? ??y. làm j b?n nó. b?n nó có quy?n nên làm j ch? ???c :v,0
ViHSD,train,Lo?i này cho d?a c?t thôi ch? ?? th? nào,2
ViHSD,train,Thuong wa di,0
ViHSD,train,D?y b?i cho cá. B?i thì ???ng nhiên nó b?i ???c vì nó là cá. Làm sao cho nó s?ng ???c m?i là ?i?u ng??i dân ?ang quan tâm.,1
ViHSD,train,?a ch? b?a xin l?i khóc t? om xòm mà gi? ch?i n?a r?i bó tay con này h?n quá,2
ViHSD,train,Bamtp ch?y ngay ddi:)),0
ViHSD,train,C? ??ng cái ?nh 2 b? con là y nh? r?ng b? ??i,0
ViHSD,train,"Dàn Táo n?m nay làm ch??ng trình TÁO QUÂN VI HÀNH nhé mn, phát sóng 9h t?i 23 T?t trên VTV3 :))",0
ViHSD,train,Th?t chán v?i ch? ?? qu?n lý dân sinh,2
ViHSD,train,??i vô th??ng l?m..s?ng ph?i tu tâm tích ??c cô oi..kh?u nghi?p quá cô ?i,0
ViHSD,train,"có ai bi?t làm cách nào ?? tìm l?i ???c, ??ng ??i, ??ng chí, hay b?n h?u cùng ??n v? c?a ng??i trong b?c ?nh không.",0
ViHSD,train,S?ng ch?m l?i các mày ?,0
ViHSD,train,Ch??ng trình qu?ng cáo xin ?c b?t ??u,0
ViHSD,train,Nguy?n H?u Nhân ??p c? c?a cháu. Th? m?c d?y,2
